znf_name	data_no	data_source	peak_number	repeat_number	motif_all_img_path
ZNF417	GSM2466547	GSE78099	828	1	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF417/raw/logo1.png
ZNF267	GSM2466511	GSE78099	1605	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF267/raw/logo1.png
ZNF519	GSM2466578	GSE78099	16903	1	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF519/raw/logo1.png
ZNF454	GSM2466564	GSE78099	196	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF454/raw/logo1.png
ZNF480	GSM2466569	GSE78099	1212	1	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF480/raw/logo1.png
ZNF674	GSM2466627	GSE78099	4762	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF674/raw/logo1.png
ZNF506	GSM2466577	GSE78099	6973	4	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF506/raw/logo1.png
ZNF675	GSM2466628	GSE78099	4719	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF675/raw/logo1.png
ZNF793	GSM2466666	GSE78099	12874	2	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF793/raw/logo1.png
ZNF614	GSM2466613	GSE78099	164	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF614/raw/logo1.png
ZNF705G	GSM2466638	GSE78099	46	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF705G/raw/logo1.png
ZNF135	GSM2466477	GSE78099	1901	2	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF135/raw/logo1.png
ZNF124	GSM2466473	GSE78099	884	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF124/raw/logo1.png
ZNF525	GSM2466579	GSE78099	761	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF525/raw/logo1.png
ZNF212	GSM2466497	GSE78099	182	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF212/raw/logo1.png
ZNF573	GSM2466604	GSE78099	1120	1	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF573/raw/logo1.png
ZNF716	GSM2466642	GSE78099	1474	2	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF716/raw/logo1.png
ZNF266	GSM2466510	GSE78099	1461	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF266/raw/logo1.png
ZNF701	GSM2466637	GSE78099	421	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF701/raw/logo1.png
ZNF100-rep3	GSM2466469	GSE78099	869	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF100-rep3/raw/logo1.png
ZNF777	GSM2466654	GSE78099	732	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF777/raw/logo1.png
ZNF282-rep2	GSM2466516	GSE78099	6857	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF282-rep2/raw/logo1.png
ZNF621	GSM2466618	GSE78099	210	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF621/raw/logo1.png
ZFP1	GSM2466449	GSE78099	102	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZFP1/raw/logo1.png
ZNF419-rep2	GSM2466550	GSE78099	49	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF419-rep2/raw/logo1.png
ZNF331	GSM2466532	GSE78099	857	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF331/raw/logo1.png
ZNF587	GSM2466608	GSE78099	470	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF587/raw/logo1.png
ZNF45	GSM2466565	GSE78099	63	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF45/raw/logo1.png
